"날짜","종가","시가","고가","저가","변동 %"
"2009- 09- 01","118.33","118.50","119.88","116.59","-0.19%"
"2009- 10- 01","118.61","118.33","119.91","116.88","0.24%"
"2009- 11- 01","121.17","118.77","121.67","117.55","2.16%"
"2009- 12- 01","115.45","121.19","121.22","114.89","-4.72%"
"2010- 01- 01","118.16","115.19","118.44","114.97","2.35%"
"2010- 02- 01","118.91","118.28","118.95","116.89","0.63%"
"2010- 03- 01","116.25","118.66","119.17","115.28","-2.24%"
"2010- 04- 01","117.91","116.19","117.97","114.83","1.43%"
"2010- 05- 01","120.67","117.81","122.45","117.44","2.34%"
"2010- 06- 01","122.55","120.58","122.84","119.69","1.56%"
"2010- 07- 01","123.81","122.69","123.89","121.45","1.03%"
"2010- 08- 01","126.50","123.77","126.88","123.39","2.17%"
"2010- 09- 01","126.05","126.50","126.78","124.00","-0.36%"
"2010- 10- 01","126.28","126.11","127.69","125.05","0.18%"
"2010- 11- 01","125.05","126.28","128.03","124.05","-0.97%"
"2010- 12- 01","120.44","125.00","125.06","118.89","-3.69%"
"2011- 01- 01","120.80","120.30","121.48","119.14","0.30%"
"2011- 02- 01","120.34","120.83","120.88","117.69","-0.38%"
"2011- 03- 01","119.03","120.25","123.11","118.59","-1.09%"
"2011- 04- 01","121.14","118.78","121.22","117.92","1.77%"
"2011- 05- 01","124.03","121.12","124.12","120.89","2.39%"
"2011- 06- 01","122.33","123.92","125.89","121.88","-1.37%"
"2011- 07- 01","125.69","122.23","125.94","121.70","2.75%"
"2011- 08- 01","130.03","125.45","131.64","125.30","3.45%"
"2011- 09- 01","130.09","129.95","131.98","129.42","0.05%"
"2011- 10- 01","129.06","130.16","131.39","127.19","-0.79%"
"2011- 11- 01","130.16","129.48","131.30","129.23","0.85%"
"2011- 12- 01","131.12","130.12","132.22","129.48","0.74%"
"2012- 01- 01","132.25","130.61","132.34","129.81","0.86%"
"2012- 02- 01","131.27","132.28","132.33","130.38","-0.74%"
"2012- 03- 01","129.48","131.33","131.78","128.38","-1.36%"
"2012- 04- 01","132.28","129.44","132.53","128.77","2.16%"
"2012- 05- 01","134.91","132.23","135.27","131.86","1.99%"
"2012- 06- 01","133.38","135.05","135.91","132.91","-1.13%"
"2012- 07- 01","134.66","133.45","135.48","133.30","0.96%"
"2012- 08- 01","134.75","134.81","134.92","132.16","0.07%"
"2012- 09- 01","133.48","134.80","134.86","132.25","-0.94%"
"2012- 10- 01","133.03","133.47","133.80","131.69","-0.34%"
"2012- 11- 01","134.12","132.95","134.36","132.31","0.82%"
"2012- 12- 01","132.78","134.05","134.95","132.06","-1.00%"
"2013- 01- 01","131.28","131.94","132.55","130.94","-1.13%"
"2013- 02- 01","132.70","131.22","132.98","130.72","1.08%"
"2013- 03- 01","131.98","132.77","133.14","131.09","-0.54%"
"2013- 04- 01","133.36","131.73","133.75","131.73","1.05%"
"2013- 05- 01","130.25","133.36","133.78","129.59","-2.33%"
"2013- 06- 01","126.56","130.28","131.44","125.02","-2.83%"
"2013- 07- 01","126.44","126.38","127.31","124.36","-0.09%"
"2013- 08- 01","125.34","126.50","126.98","124.00","-0.87%"
"2013- 09- 01","126.39","125.00","126.92","123.33","0.84%"
"2013- 10- 01","127.36","126.42","128.06","125.52","0.77%"
"2013- 11- 01","126.64","127.23","127.70","125.72","-0.57%"
"2013- 12- 01","123.05","126.50","126.59","122.77","-2.83%"
"2014- 01- 01","125.75","122.80","125.91","122.78","2.19%"
"2014- 02- 01","126.11","125.78","126.50","125.09","0.29%"
"2014- 03- 01","123.50","126.73","126.75","123.08","-2.07%"
"2014- 04- 01","124.42","123.53","125.08","122.70","0.74%"
"2014- 05- 01","126.33","124.42","126.77","123.78","1.54%"
"2014- 06- 01","125.17","126.14","126.20","124.08","-0.92%"
"2014- 07- 01","124.61","125.08","125.73","123.81","-0.45%"
"2014- 08- 01","126.33","124.64","127.03","124.41","1.38%"
"2014- 09- 01","124.64","126.28","126.31","123.94","-1.34%"
"2014- 10- 01","126.36","124.80","130.53","124.69","1.38%"
"2014- 11- 01","127.66","126.42","127.78","125.84","1.03%"
"2014- 12- 01","126.80","127.84","128.78","125.66","-0.67%"
"2015- 01- 01","130.88","126.61","131.17","126.41","3.22%"
"2015- 02- 01","128.42","131.05","131.11","127.06","-1.88%"
"2015- 03- 01","128.91","128.41","129.56","126.62","0.38%"
"2015- 04- 01","128.38","128.91","130.12","127.81","-0.41%"
"2015- 05- 01","128.31","128.45","128.45","126.20","-0.05%"
"2015- 06- 01","126.17","128.14","128.30","124.91","-1.67%"
"2015- 07- 01","127.44","125.97","127.62","125.16","1.01%"
"2015- 08- 01","127.64","127.58","129.89","126.55","0.16%"
"2015- 09- 01","128.73","127.52","128.92","127.12","0.85%"
"2015- 10- 01","127.69","128.88","130.02","127.45","-0.81%"
"2015- 11- 01","127.02","127.77","127.83","125.70","-0.52%"
"2015- 12- 01","125.91","127.08","127.88","125.44","-0.87%"
"2016- 01- 01","129.58","125.88","129.69","125.77","2.91%"
"2016- 02- 01","130.91","129.59","133.05","129.16","1.03%"
"2016- 03- 01","130.39","130.95","131.22","128.52","-0.40%"
"2016- 04- 01","130.06","130.48","131.30","129.06","-0.25%"
"2016- 05- 01","129.80","129.92","131.20","129.30","-0.20%"
"2016- 06- 01","132.98","129.66","134.22","129.59","2.45%"
"2016- 07- 01","133.05","133.03","134.23","131.61","0.05%"
"2016- 08- 01","131.88","133.12","133.12","131.30","-0.88%"
"2016- 09- 01","131.12","131.73","132.48","130.66","-0.58%"
"2016- 10- 01","129.62","131.22","131.23","129.20","-1.14%"
"2016- 11- 01","125.23","129.67","131.00","124.80","-3.39%"
"2016- 12- 01","124.28","125.09","125.77","123.02","-0.76%"
"2017- 01- 01","124.47","124.12","125.42","123.56","0.15%"
"2017- 02- 01","125.11","124.45","125.67","123.77","0.51%"
"2017- 03- 01","124.56","124.80","125.28","123.31","-0.44%"
"2017- 04- 01","125.72","124.59","126.62","124.50","0.93%"
"2017- 05- 01","126.56","125.72","126.72","124.72","0.67%"
"2017- 06- 01","125.53","126.47","127.55","125.45","-0.81%"
"2017- 07- 01","125.89","125.52","126.38","124.80","0.29%"
"2017- 08- 01","127.25","125.84","127.59","125.67","1.08%"
"2017- 09- 01","125.31","127.27","128.11","125.06","-1.52%"
"2017- 10- 01","124.94","125.23","125.80","124.19","-0.30%"
"2017- 11- 01","124.31","124.88","125.47","124.19","-0.50%"
"2017- 12- 01","124.05","124.34","125.09","123.39","-0.21%"
