"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 01- 20","24,737.20","24,607.76","24,860.15","24,244.31","1.35B","0.12%"
"2019- 01- 13","24,706.35","23,880.53","24,750.22","23,765.24","1.53B","2.96%"
"2019- 01- 06","23,995.95","23,474.26","24,014.78","23,301.59","1.58B","2.40%"
"2018- 12- 30","23,433.16","23,153.94","23,518.64","22,638.41","1.43B","1.61%"
"2018- 12- 23","23,062.40","22,317.28","23,381.88","21,712.53","1.49B","2.75%"
"2018- 12- 16","22,445.37","23,986.83","24,088.08","22,396.34","2.86B","-6.87%"
"2018- 12- 09","24,100.51","24,360.95","24,828.29","23,881.37","1.79B","-1.18%"
"2018- 12- 02","24,388.95","25,779.57","25,980.21","24,242.22","1.68B","-4.50%"
"2018- 11- 25","25,538.46","24,364.13","25,549.71","24,364.13","1.76B","5.16%"
"2018- 11- 18","24,285.95","25,392.61","25,392.61","24,268.74","1.25B","-4.44%"
"2018- 11- 11","25,413.22","25,959.33","25,966.71","24,787.79","1.82B","-2.22%"
"2018- 11- 04","25,989.30","25,261.47","26,277.82","25,261.47","1.58B","2.84%"
"2018- 10- 28","25,270.83","24,818.98","25,578.98","24,122.23","2.18B","2.36%"
"2018- 10- 21","24,688.31","25,492.14","25,561.34","24,445.19","2.19B","-2.97%"
"2018- 10- 14","25,444.34","25,332.46","25,817.68","25,236.01","1.57B","0.41%"
"2018- 10- 07","25,339.99","26,399.45","26,539.94","24,899.77","1.91B","-4.19%"
"2018- 09- 30","26,447.05","26,598.36","26,951.81","26,301.81","1.33B","-0.04%"
"2018- 09- 23","26,458.31","26,705.25","26,709.94","26,349.34","1.24B","-1.07%"
"2018- 09- 16","26,743.50","26,151.66","26,769.16","26,030.35","1.64B","2.25%"
"2018- 09- 09","26,154.67","25,991.91","26,211.11","25,754.32","1.29B","0.92%"
"2018- 09- 02","25,916.54","25,916.07","26,073.68","25,805.95","1.09B","-0.19%"
"2018- 08- 26","25,964.82","25,882.71","26,167.94","25,879.77","1.16B","0.68%"
"2018- 08- 19","25,790.35","25,727.70","25,888.82","25,608.02","1.10B","0.47%"
"2018- 08- 12","25,669.32","25,327.19","25,728.16","24,965.77","1.36B","1.41%"
"2018- 08- 05","25,313.14","25,437.43","25,692.72","25,222.88","1.15B","-0.59%"
"2018- 07- 29","25,462.58","25,439.32","25,500.16","25,120.07","1.51B","0.05%"
"2018- 07- 22","25,451.06","25,036.90","25,587.24","24,983.33","1.40B","1.57%"
"2018- 07- 15","25,058.12","25,025.58","25,215.32","24,979.64","1.29B","0.15%"
"2018- 07- 08","25,019.41","24,519.20","25,043.21","24,518.43","1.20B","2.30%"
"2018- 07- 01","24,456.48","24,161.53","24,520.29","24,077.56","862.18M","0.76%"
"2018- 06- 24","24,271.41","24,463.73","24,569.02","23,997.21","1.69B","-1.26%"
"2018- 06- 17","24,580.89","24,944.28","25,003.10","24,406.63","1.90B","-2.03%"
"2018- 06- 10","25,090.48","25,336.67","25,402.83","24,894.38","1.87B","-0.89%"
"2018- 06- 03","25,316.53","24,727.55","25,326.09","24,710.82","1.64B","2.77%"
"2018- 05- 27","24,635.21","24,606.59","24,714.48","24,247.84","1.47B","-0.48%"
"2018- 05- 20","24,753.09","24,883.06","25,086.49","24,605.90","1.60B","0.15%"
"2018- 05- 13","24,715.09","24,879.37","24,994.19","24,629.39","1.45B","-0.47%"
"2018- 05- 06","24,831.17","24,317.66","24,868.65","24,198.34","1.59B","2.34%"
"2018- 04- 29","24,262.51","24,410.41","24,498.23","23,531.31","1.90B","-0.20%"
"2018- 04- 22","24,311.19","24,488.07","24,579.94","23,823.08","2.04B","-0.62%"
"2018- 04- 15","24,462.94","24,483.15","24,858.97","24,375.04","1.87B","0.42%"
"2018- 04- 08","24,360.14","24,037.52","24,646.45","23,954.83","1.70B","1.79%"
"2018- 04- 01","23,932.76","24,076.60","24,622.26","23,344.52","2.04B","-0.71%"
"2018- 03- 25","24,103.11","23,825.74","24,446.22","23,708.73","2.00B","2.42%"
"2018- 03- 18","23,533.20","24,893.69","24,977.65","23,509.06","1.99B","-5.67%"
"2018- 03- 11","24,946.51","25,372.44","25,449.15","24,668.83","2.14B","-1.54%"
"2018- 03- 04","25,335.74","24,471.31","25,336.33","24,387.15","1.81B","3.25%"
"2018- 02- 25","24,538.06","25,403.35","25,800.35","24,217.76","2.31B","-3.05%"
"2018- 02- 18","25,309.99","25,124.91","25,313.91","24,792.99","1.59B","0.36%"
"2018- 02- 11","25,219.38","24,337.76","25,432.42","24,290.48","2.13B","4.25%"
"2018- 02- 04","24,190.90","25,337.87","25,520.53","23,360.29","3.44B","-5.21%"
"2018- 01- 28","25,520.96","26,584.28","26,608.90","25,490.66","2.28B","-4.12%"
"2018- 01- 21","26,616.71","26,025.32","26,616.71","25,974.65","2.26B","2.09%"
"2018- 01- 14","26,071.72","25,987.62","26,153.42","25,702.99","2.21B","1.04%"
"2018- 01- 07","25,803.19","25,308.40","25,810.43","25,235.41","1.74B","2.01%"
"2017- 12- 31","25,295.87","24,809.35","25,299.79","24,741.70","1.56B","2.33%"
"2017- 12- 24","24,719.22","24,715.84","24,871.66","24,708.42","905.90M","-0.14%"
"2017- 12- 17","24,754.06","24,739.56","24,876.07","24,697.11","1.63B","0.42%"
"2017- 12- 10","24,651.74","24,338.11","24,688.62","24,314.74","1.92B","1.33%"
"2017- 12- 03","24,329.16","24,424.11","24,534.04","24,101.24","1.72B","0.40%"
"2017- 11- 26","24,231.59","23,552.86","24,327.82","23,545.02","1.92B","2.86%"
"2017- 11- 19","23,557.99","23,370.71","23,617.80","23,360.58","1.03B","0.86%"
"2017- 11- 12","23,358.24","23,367.47","23,492.19","23,242.75","2.24B","-0.27%"
"2017- 11- 05","23,422.21","23,533.96","23,602.12","23,310.02","1.53B","-0.50%"
"2017- 10- 29","23,539.19","23,405.75","23,557.06","23,327.87","1.85B","0.45%"
"2017- 10- 22","23,434.19","23,348.95","23,485.25","23,251.11","2.15B","0.45%"
"2017- 10- 15","23,328.63","22,892.92","23,328.84","22,887.12","1.62B","2.00%"
"2017- 10- 08","22,871.72","22,779.73","22,905.33","22,739.38","1.50B","0.43%"
"2017- 10- 01","22,773.67","22,423.47","22,777.04","22,416.00","1.21B","1.65%"
"2017- 09- 24","22,405.09","22,320.47","22,405.63","22,219.11","1.50B","0.25%"
"2017- 09- 17","22,349.59","22,297.92","22,419.51","22,283.35","1.52B","0.36%"
"2017- 09- 10","22,268.34","21,927.79","22,275.02","21,927.79","1.79B","2.16%"
"2017- 09- 03","21,797.79","21,912.37","21,921.09","21,709.63","1.27B","-0.86%"
"2017- 08- 27","21,987.56","21,832.50","22,038.97","21,673.58","1.32B","0.80%"
"2017- 08- 20","21,813.67","21,671.36","21,912.83","21,600.34","1.20B","0.64%"
"2017- 08- 13","21,674.51","21,945.64","22,085.71","21,641.63","1.39B","-0.84%"
"2017- 08- 06","21,858.32","22,100.20","22,179.11","21,842.74","1.29B","-1.06%"
"2017- 07- 30","22,092.81","21,863.39","22,092.81","21,861.71","1.51B","1.20%"
"2017- 07- 23","21,830.31","21,577.78","21,841.18","21,496.13","1.56B","1.16%"
